Bairro;Nome;Endereço;Horario;Telefone;Empresa Coletora
Azenha;EPTC - sede;rua João Neves da Fontoura, 7;2ªa 6ª - 8h30 às 12h e das 13h30 às 18h ;3289-4226;Ecológica
Azenha;DMLU;Av. Azenha, 631;2ª 6ª das 8:00 às 12:00 / das 13:00 às 17:30;3289-6991;
Bela Vista;SOCIEDADE EDUCACIONAL LEONARDO DA VINCI ;Av. Nilo Peçanha, 2400  ;2ª 6ª 7-20:00 e sáb 8:00-12:00;3328-6098 / 3328-9525;Faros Coleto
Belém Novo;Capatazia Belém Novo;Av. Juca Batista, 10400  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3259-1956;Faros Coleto
 Belém Velho;PSF Nossa Senhora de Belém;Rua João do Couto nº 294;2ªf a 6ªf - 8h-12h 13h-17h (menos 5ªf);3266-9139;Ecológica
Bom Fim;Centro Integrado de Desenvolvimento LTDA.;Rua Fernandes Vieira, 553;2ª6ª: 8:00- 18:45;3311-2789;Ecológica
Bom Jesus;Capatazia Fátima;Rua Alfredo Ferreira Rodrigues, 975  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3367-3777;Faros Coleto
Bom Jesus;EMEF Fátima;Rua A,  Vlila N.Sra.Fátima, 15  ;2ª 6ª - 8:00-12:00 /14:00-18:00 /19:00-21:00h;3338-3695;Faros Coleto
Bom Jesus;FASC- Centro Regional Leste;R São Domingos, 79  ;2º-6º: 8:00-12:00 /13:00-17:00;33344238/33867628;Ecológica
Camaquã;EMEI Jardim Camaquã;Rua Jardim das Bromélias, 01  ;2ª 6ª - 7:00-19:00h;3241-4986;Ecológica
Campo Novo;Escola Estadual de Ensino Fundamental Paulina Moresco;Rua Thomé de Souza, 160  ;2º-6º: 8:00-17:00;3245-3888;Ecológica
Cavalhada;Escola Municipal Ensino Fundam. Neusa Goulart Brizola;Rua Monsenhor Rubem Neis, s/n  ;2º-6º:7:30-12:00/13:15-17:45;3246-9999;Faros Coleto
Cavalhada;EMEI Bairro Cavalhada;Rua Canela, 180  ;2ª6ª - 7:30-18:30h;3241-3604;Ecológica
Cavalhada;Capatazia Cavalhada;Av. Otto Niemeyer, 3206  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3245-5753;Faros Coleto
Centro;I.Federal;Rua Coronel Vicente, 281;2ª-6ª: 7:30 - 22:30;3930-6010;Ecológica
Centro;Capatazia do Gasômetro;Av. João Goulart, 158  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3224-9724;Ecológica
Centro;Capatazia da Conceição - Sc Centro;Rua Alberto Bins,   elevada Conceição;2º-6º: 8:00-18:00 sab: 8:00-12:00;3226-1950;Faros Coleto
Centro;EMEF Porto Alegre;Rua Washington Luis, 203  ;2ª6ª - 8:00-17:00 h;3227-4429;Faros Coleto
Centro;Fundação Universidade Federal de Ciências de Saúde de Porto Alegre ;Rua Sarmento Leite, 245;2ª6ª - das 8h às 12h e das 13h às 17h;3303-8769;Ecológica
Centro;DEP - Fábrica de Pré-moldados;Av. Loureiro da Silva nº 250  ;2ª 6ª: 8:00-18:00;32892284;Ecológica
Cidade Baixa;DEP - Lima e Silva;Rua Gen. Lima e Silva nº 972;2ª 6ª - 8:30 às 18:30;3289-2231;Ecológica
Cidade Baixa;EMEI dos Municipários Tio Barnabé;Rua Otto Ernest Meyer, 55  ;2ª 6ª - 8:00-18:00h;3227-4591;Faros Coleto
Cidade Baixa;SENAC Informática;Av. Venâncio Aires nº 93;2ª 6ª - 8h às 21h;3029-3633;Ecológica
Cidade Baixa;SESC Mulher;Av. João Pessoa, 835  ;2ª 6ª - 8:00-22:00h;32260631;Ecológica
Cidade Baixa;Capatazia da República - Sc Centro;Rua da República, 711  ;2ª 6ª: 8:00-18:00 sab: 8:00-12:00;3212-8071;Ecológica
Costa e Silva;Capatazia Porto Seco;Av. Plínio Kroeff, 752;2ª 6ª: 7:30-12:00 13:30 - 17:00 sab:7:30- 12:00;3347-1964;Faros Coleto
Cristal;SOCIEDADE EDUCACIONAL LEONARDO DA VINCI - Leo Beta;Av. Icaraí, 1879  ;2ª 6ª - 8:00-18:00;3249-8840;Faros Coleto
Cristal;Destino Certo Zona Sul;Av. Diario de Noticias, 1111;2ª 6ª - 7:00- 21:00;9638-7374;Faros Coleto
Cristal;EMEF Aramy Silva;Av. Chico Pedro, 390  ;2ª 6ª : 7:30-17:50h;3289-5947/5946;Ecológica
Cristal;Clube de Mães do Cristal;Rua Curupaiti, 915  ;2ª a 6ª - à tarde;9974-6005;Ecológica
Cristo Redentor;Colégio Adventista Marechal Rondon;Rua Mali, 255;2ª6ª: 7:15- 12:00 sab: 13:00- 15:00/ 17:30;3349-6600 / 3340-3375;Ecológica
Floresta;Capatazia Cancio Gomes - Sc Norte;Travessa Carmem, 111  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3395-1327;Ecológica
Glória;Capatazia Glória;Rua Carvalho de Freitas, 1.012;2ªf a 6ª f - 7:30-17h Sáb. - 7:30 - 11:30h;3322-0340;Faros Coleto
Hípica;EMEF Prof. Anísio Teixeira;Rua Francisco Mattos Terres, 40  ;2ª 6ª - 7:45-12:00/ 13:25-17:40h;3264-1540 / 3289-9598;Faros Coleto
Humaitá;Capatazia Humaitá - Sc Norte;Rua José Aloisio Filho, 780  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3325-3160;Ecológica
IAPI;Capatazia IAPI - Sc Norte;Av Assis Brasil, 1715  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3342-6121;Ecológica
Ilha da Pintada - Arquipélago;EMEI - Ilha da Pintada;Rua dos Garruchos s/nº;2ªf a 6ªf: de 8h a 18h;3211-7542;Ecológica
Ipanema;Capatazia Ipanema;Av. Guaíba, 2027  ;2ª-6ª: 8:00-18:00 sáb: 8:00-12:00;3248-1725;Faros Coleto
Ipanema;Fundação de Proteção Especial;Rua Déa Coufal, 878;;3248-2490;Faros Coleto
Ipanema;Clube do Professor Gaúcho;Av. Guaíba, 12060  ;2ª 6ª:  9h às 20h;3248-5710;Ecológica
Ipanema;EEEF Monte Líbano;rua Lemuria nº 10;;32.469.874;Faros Coleto
Ipanema;Escola de Educação Infantil Amoreco;Rua Engenheiro Tito Marques Fernandes nº 80;2ª a 6ª: 7h15 às 19h;3246-9212;Ecológica
Jardim Botânico;Anchieta Coml de Combustíveis Ltda;Av. Salvador França, 981  ;todos os dias - das 8:00 às 22:00 h;3319-3702;Ecológica
Jardim Itú Sabará;EMEI Vale Verde;Beco Franklin, 270  ;2ª6ª - 8:00-17:00 h;3386-2044;Ecológica
Jardim Itú Sabará;EMEF Profº Luiz Francisco Lucena Borges;Rua Cláudio Manuel da Costa, 270  ;2ª6ª - 7:00-12:00 / 13:30-17:30 h;3338-3350 / 3289-5875;Faros Coleto
Jardim Sabará;CTG Tiarayu;Rua Abilio Mulle, 251  ;todos os dias das 10 às 22 h;3381-5657 / 9975-8259;Ecológica
Lami;Capatazia Lami;Rua Otaviano José Pinto,   Pontal;2º-6º: 8:00-18:00 sab: 8:00-12:00;3258-5055;Ecológica
Lomba do Pinheiro;EMEI Maria Marques Fernandes;Av. Santo Dias da Silva, 550  Vila Mapa;2ª 6ª - 7:00-19:00h;3319-1208;Ecológica
Lomba do Pinheiro;EMEI da Vila Nova São Carlos;Estr. João de Oliveira Remião esq. A, s/nº  Parada 12;2ª6ª - 10:00-15:00 h;3319-1146;Ecológica
Lomba do Pinheiro;EMEF São Pedro;Beco da Taquara, s/nº  ;5ª - 14:00 - 17:00h;3319-1206;Faros Coleto
Lomba do Pinheiro;EMEF Afonso Guerreiro Lima;Rua Guaíba, 203  PD.11-Vila Nova São Carlos;2ª6ª- 7:30-12/ 13:10-17:40/ 18:30-22:00h;3319-1011;Faros Coleto
Mário Quintana;EMEF Chico Mendes;Rua Gentil Amâncio Clemente, 01  ;2ª6ª - 7:30-12:00 / 13:30-17:30 h;3387-6400;Faros Coleto
Mário Quintana;CEEMEF Wenceslau Fontoura;Rua Irmã Faveiro, s/nº  ;2ª6ª - 7:35-12 / 13:30-17:30 / 18:30-22:30 h;3366-2911 / 3289-5847;Ecológica
Mário Quintana;EMEI Valneri Antunes;Estr. Martim Félix Berta, 2353  ;2º-6ª:7:00-18:45;3287-6077;Ecológica
Mário Quintana;EMEF Timbaúva;Rua Seis, s/nº  ;2ª6ª - 8:00-12:00 / 13:00-17:30 h;3368-5355;Ecológica
Medianeira;Capatazia Niteroi;Av. Niteroi, 19  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3217-9257;Faros Coleto
Menino Deus;Ginásio Tesourinha;Rua Érico Veríssimo S/Nº;2ª a 6ª - 8h às 22h;3289-8332;Ecológica
Navegantes;Ponto das Padarias;Av. Sertório, 1105  ;2ª6ª - 8 às 18 h;3342-2266;Ecológica
Navegantes;SESC- Administração Regional no Estado do Rio Grande do Sul;Av. Brasil, 483  ;;33425099;Ecológica
Parque dos Mayas;Colégio Luterano São Paulo;Av. Tarcila Moraes Dutra, 799  ;2ª 6ª 8:00-12:00 / 13:30-17:30h;3367-4802;Ecológica
Partenon;Capatazia Tenente Alpoin;Rua José Rodrigues Sobral, 958  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3354-6248;Ecológica
Partenon;EMEF Dep. Marcírio Goulart Loureiro;Rua Saibreira, 01  ;2ª6ª - 7:30-11:30 / 13:30-17:00 h;3315-6069;Faros Coleto
Passo D'Areia;Instituto Vicente Palloti;Rua Tupi, 212;2ª6ª: 8:00- 17:00;3341-3055;Ecológica
Passo das Pedras;EMEF Pepita de Leão;Rua Estádio, 29  ;2ª6ª - 7:30-12 h / 13-17:45 h;3344-1522;Ecológica
Passo das Pedras;EMEI Érico Veríssimo;Rua Modesto Franco, 100  ;2ª6ª - 7:00-19:00 h;3348-1408 / 3289-5870;Ecológica
Passo das Pedras;EMEF Presidente Vargas;Rua Ana Aurora do Amaral Lisboa, 60  ;2ª6ª - 7:30-12:00 / 13:30 - 17:45 h;3348-1732;Faros Coleto
Praia de Belas;SMOV - Sede;Av. Borges de Medeiros, 2244  ;2º-6º:8:30-12:00/14:00-17:00;3289-8736;
Pedra Redonda;AABB - Associação Atlética Banco do Brasil;Av. Coronel Marcos, 1000;dom a dom: 24 hrs;32431021 / 3243-1099;Ecológica
Protásio Alves;EMEF Prof. Ana Iris do Amaral;Av. Mario Meneghetti, 1000; 2ª6ª- 7:45- 12:00 13:15- 17:30;3386-2690;Faros Coleto
Restinga;Capatazia Restinga;Rua Rubens Torrelli, 50  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3250-1952;Faros Coleto
Restinga;EMEI Vila Nova Restinga;Rua Álvaro Difini, 480, 480  ;2ª6ª - 7:00-19:00 h;3250-1600;Ecológica
Restinga;EMEF Tristão Sucupira Vianna;Av. Econ. Nilo Wulff, 955  ;2ª6ª - 7:30-17:30 h;3250-1527;Faros Coleto
Restinga Velha;EMEI Paulo Freire;Av. Meridional s/n;2ª6ª- 7:00- 19:00;3250-2430;Ecológica
Rubem Berta;Instituto Madre Tereza;Rua Wolfran Metzler, 605  ;2ª a 6ª:  7h às 18h;3366-3177;Ecológica
Santa Cecília;Capatazia Silva Só;Av Silva Só,   sob elevada Tiradentes;2º-6º: 8:00-18:00 sab: 8:00-12:00;3331-4519;Faros Coleto
Santa Tereza;Destino Certo;Av. Cruzeiro do Sul, 1445;2ª a sab: 8:00- 20:00;3231-6064;Ecológica
Santa Tereza;EMEI Vila Tronco;Rua Dr. Ildefonso Pinto, 346  ;2ª6ª - 7:00-19 h;3266-9519;Ecológica
Santa Tereza;EMEF Ver. Martim Aranha;Rua Cônego Paulo Isidora de Nadal, s/nº  ;2ª6ª - 8:00-12:00 / 14:00-17:00 h;3266-6228;Faros Coleto
Santana;Academia Alternativa;Rua São Luiz, 444;2ª6ª: 7:00- 24:00/ sab: 9:00- 16:00 dom:16:00- 19:00 ;3061-2966;Ecológica
São Geraldo;Colégio Concórdia;Av. Pres. Rooswelt, 770  ;;3342-0755;Faros Coleto
São João;Capatazia Pereira Franco - Sc Norte;rua Pereira Franco, 135  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3325-2890;Faros Coleto
São José;EMEI Dr. Walter Silber;Rua Frei Clemente, 150  ;2ª6ª - 7:00-19h;3336-1893;Ecológica
São José;EMEF Profª Judith Macedo de Araújo;Rua Saul Constantino, 100  Vila Comunitária;2ª6ª - 7:30-23 h;3385-1308;Faros Coleto
Sarandi;Seção Nordeste;Rua Dom Jaime de Barros C., 815  ;2º-6º: 8:00-18:00 sab: 8:00-12:00;3365-4053;Faros Coleto
Sarandi;EEEF Dr. Ferreira de Abreu;Av. Botoui nº 25;;33.652.555;Faros Coleto
Sarandi;EMEI da Vila Elizabeth;Rua Paulo Gomes de Oliveira, 120  ;2ª6ª - 7:00 às 19:00 h;3364-5013;Faros Coleto
Sarandi;Escola Adventista de Ensino Fundamental de Sarandi;Rua Passos Figuroa, 841;2ª6ª: 7:30- 12:00 / 13:00- 17:30;3364-7979;Ecológica
Tristeza;E.E.E.F. Osório Duque Estrada;R. Cidade de Natal, 125;2ª6ª: 7:50- 12:50 13:30- 17:30;3268-3593;Faros Coleto
Tristeza;Floricultura Winge;R. Mario Tota, 963;2ª6ª: 8:30- 18:15;3268-4880;Ecológica
Vila Assunção;Escola Estadual de Ensino Médio Santos Dumont;Rua Caeté, 328  ;2ª6ª - 8:00-12:00 / 13:30-18:00 / 19:00-22:00 h;3268-1241;Faros Coleto
Vila Jardim;Unidade de Saúde Divina Providência;Rua Cananéia, 220  ;2º-6º:8:00-17:00;3378-2275;Ecológica
Vila Nova;Escola Municipal Vila Monte Cristo;Rua Carlos Superti, 84  ;2º-6º:7:30-12:00/13:30-22:00;3246-4659;Faros Coleto
Vila Nova;EMEI Jardim Salomoni;Rua Joaquim de Carvalho, 320  ;2ª6ª - 9:00-18:00h;3246-4712;Faros Coleto
